date,新增,次留率,日活,收入(w)
2026-04-12,19,32%,507,2872
2026-04-11,15,60%,508,2540
2026-04-10,9,44%,494,918
2026-04-09,21,62%,544,2290
2026-04-08,14,43%,527,414
2026-04-07,12,67%,516,1008
2026-04-06,15,47%,501,497
2026-04-05,32,38%,572,943
2026-04-04,14,64%,536,1433
2026-04-03,29,48%,530,986
2026-04-02,20,40%,548,2828
2026-04-01,36,44%,608,4396
2026-03-31,11,64%,563,2187
2026-03-30,14,43%,546,822
2026-03-29,25,40%,550,672
2026-03-28,19,32%,531,577
2026-03-27,24,54%,518,602
2026-03-26,23,43%,539,964
2026-03-25,19,53%,550,951
2026-03-24,14,36%,557,1345
2026-03-23,29,45%,568,2242
2026-03-22,18,44%,531,1229
2026-03-21,22,50%,598,2453
2026-03-20,32,41%,592,1322
2026-03-19,23,65%,555,599
2026-03-18,27,44%,584,1521
2026-03-17,32,53%,531,1295
2026-03-16,27,48%,532,1565
2026-03-15,37,43%,554,945
2026-03-14,29,41%,511,2033
2026-03-13,37,49%,544,1793
2026-03-12,24,38%,518,1797
2026-03-11,48,29%,534,1121
2026-03-10,49,22%,539,970
2026-03-09,28,39%,555,1334
2026-03-08,35,51%,550,918
2026-03-07,46,67%,549,882
2026-03-06,29,66%,593,2071
2026-03-05,47,53%,663,3495
2026-03-04,53,45%,656,1400
2026-03-03,53,60%,579,1390
2026-03-02,40,60%,587,1209
2026-03-01,54,28%,624,1424
2026-02-28,67,48%,576,1308
2026-02-27,46,59%,572,1798
2026-02-26,38,47%,580,1403
2026-02-25,42,36%,589,2444
2026-02-24,52,33%,597,2278
2026-02-23,57,47%,540,1415
2026-02-22,29,48%,524,799
2026-02-21,33,45%,491,1909
2026-02-20,30,53%,471,897
2026-02-19,42,71%,422,860
2026-02-18,34,62%,415,1452
2026-02-17,23,48%,364,1030
2026-02-16,270,20%,766,1914
2026-02-15,85,45%,487,881
2026-02-14,42,50%,408,1620
2026-02-13,41,32%,396,3085
2026-02-12,51,33%,460,1751
2026-02-11,34,38%,487,3069
2026-02-10,73,40%,521,1953
2026-02-09,130,66%,527,1546
2026-02-08,86,56%,445,1434
2026-02-07,65,49%,435,2680
2026-02-06,102,47%,448,769
2026-02-05,83,34%,447,1504
2026-02-04,119,36%,455,983
2026-02-03,77,53%,388,2155
2026-02-02,78,59%,399,2218
2026-02-01,82,52%,351,1665
2026-01-31,59,46%,347,65
2026-01-30,76,57%,359,0
2026-01-29,385,73%,386,0
2026-01-28,1,100%,1,0
