date,注册量,新增,日活,累计激活,订单数,收入(w),订单人数,次留数,7留数,激活率,次留率,7留率,ARPU,ARPPU,付费率
2026-04-17,70,9,484,7,127,5631,84,,,10%,,,12,67,17.4%
2026-04-16,21,13,528,8,29,860,21,4,,38%,31%,,2,41,4.0%
2026-04-15,32,16,497,13,14,2454,10,7,,41%,44%,,5,245,2.0%
2026-04-14,22,13,492,12,30,1068,21,5,,55%,38%,,2,51,4.3%
2026-04-13,24,8,514,11,17,548,13,3,,46%,38%,,1,42,2.5%
2026-04-12,46,19,507,18,35,2872,24,9,,39%,47%,,6,120,4.7%
2026-04-11,39,15,508,17,51,2540,36,9,2,44%,60%,13%,5,71,7.1%
2026-04-10,19,9,494,5,24,918,16,4,2,26%,44%,22%,2,57,3.2%
2026-04-09,22,21,544,16,38,2290,25,13,8,73%,62%,38%,4,92,4.6%
2026-04-08,28,14,527,14,18,414,11,6,1,50%,43%,7%,1,38,2.1%
2026-04-07,27,12,516,13,33,1008,14,8,4,48%,67%,33%,2,72,2.7%
2026-04-06,28,15,501,16,14,497,12,7,2,57%,47%,13%,1,41,2.4%
2026-04-05,35,32,572,21,25,943,18,12,5,60%,38%,16%,2,52,3.1%
2026-04-04,34,14,536,11,29,1433,25,9,5,32%,64%,36%,3,57,4.7%
2026-04-03,34,29,530,18,35,986,23,14,7,53%,48%,24%,2,43,4.3%
2026-04-02,44,20,548,19,42,2828,24,8,5,43%,40%,25%,5,118,4.4%
2026-04-01,58,36,608,27,53,4396,31,16,12,47%,44%,33%,7,142,5.1%
2026-03-31,36,11,563,11,45,2187,23,7,2,31%,64%,18%,4,95,4.1%
2026-03-30,43,14,546,11,27,822,17,6,4,26%,43%,29%,2,48,3.1%
2026-03-29,69,25,550,23,21,672,12,10,4,33%,40%,16%,1,56,2.2%
2026-03-28,61,19,531,16,25,577,10,6,4,26%,32%,21%,1,58,1.9%
2026-03-27,81,24,518,24,26,602,16,13,8,30%,54%,33%,1,38,3.1%
2026-03-26,53,23,539,19,19,964,18,10,3,36%,43%,13%,2,54,3.3%
2026-03-25,41,19,550,17,36,951,20,10,5,41%,53%,26%,2,48,3.6%
2026-03-24,33,14,557,10,25,1345,19,5,2,30%,36%,14%,2,71,3.4%
2026-03-23,30,29,568,17,55,2242,27,13,7,57%,45%,24%,4,83,4.8%
2026-03-22,43,18,531,15,32,1229,24,8,4,35%,44%,22%,2,51,4.5%
2026-03-21,49,22,598,21,27,2453,24,11,1,43%,50%,5%,4,102,4.0%
2026-03-20,55,32,592,20,26,1322,20,13,3,36%,41%,9%,2,66,3.4%
2026-03-19,59,23,555,24,20,599,16,15,5,41%,65%,22%,1,37,2.9%
2026-03-18,70,27,584,28,33,1521,23,12,6,40%,44%,22%,3,66,3.9%
2026-03-17,68,32,531,29,23,1295,17,17,2,43%,53%,6%,2,76,3.2%
2026-03-16,63,27,532,23,26,1565,18,13,4,37%,48%,15%,3,87,3.4%
2026-03-15,125,37,554,38,27,945,21,16,12,30%,43%,32%,2,45,3.8%
2026-03-14,154,29,511,35,32,2033,29,12,3,23%,41%,10%,4,70,5.7%
2026-03-13,71,37,544,35,42,1793,25,18,6,49%,49%,16%,3,72,4.6%
2026-03-12,42,24,518,24,45,1797,23,9,7,57%,38%,29%,4,78,4.4%
2026-03-11,79,48,534,35,35,1121,21,14,12,44%,29%,25%,2,53,3.9%
2026-03-10,91,49,539,45,43,970,28,11,6,49%,22%,12%,2,35,5.2%
2026-03-09,58,28,555,21,44,1334,27,11,8,36%,39%,29%,2,49,4.9%
2026-03-08,101,35,550,38,24,918,14,18,5,38%,51%,14%,2,66,2.5%
2026-03-07,83,46,549,49,24,882,19,31,11,59%,67%,24%,2,46,3.5%
2026-03-06,61,29,593,23,55,2071,29,19,4,38%,66%,14%,4,71,4.9%
2026-03-05,92,47,663,49,37,3495,25,25,10,53%,53%,21%,5,140,3.8%
2026-03-04,95,53,656,47,35,1400,22,24,18,49%,45%,34%,2,64,3.4%
2026-03-03,104,53,579,56,37,1390,27,32,13,54%,60%,25%,2,51,4.7%
2026-03-02,93,40,587,47,21,1209,18,24,13,51%,60%,32%,2,67,3.1%
2026-03-01,120,54,624,53,50,1424,35,15,18,44%,28%,33%,2,41,5.6%
2026-02-28,152,67,576,59,42,1308,22,32,16,39%,48%,24%,2,59,3.8%
2026-02-27,128,46,572,64,46,1798,30,27,16,50%,59%,35%,3,60,5.2%
2026-02-26,139,38,580,36,38,1403,29,18,7,26%,47%,18%,2,48,5.0%
2026-02-25,135,42,589,40,65,2444,35,15,7,30%,36%,17%,4,70,5.9%
2026-02-24,165,52,597,46,55,2278,36,17,11,28%,33%,21%,4,63,6.0%
2026-02-23,150,57,540,56,38,1415,17,27,10,37%,47%,18%,3,83,3.1%
2026-02-22,111,29,524,30,28,799,21,14,8,27%,48%,28%,2,38,4.0%
2026-02-21,163,33,491,36,31,1909,21,15,5,22%,45%,15%,4,91,4.3%
2026-02-20,51,30,471,20,30,897,17,16,10,39%,53%,33%,2,53,3.6%
2026-02-19,84,42,422,31,29,860,19,30,19,37%,71%,45%,2,45,4.5%
2026-02-18,65,34,415,41,21,1452,15,21,2,63%,62%,6%,4,97,3.6%
2026-02-17,41,23,364,22,28,1030,17,11,7,54%,48%,30%,3,61,4.7%
2026-02-16,332,270,766,280,22,1914,18,53,61,84%,20%,23%,3,106,2.3%
2026-02-15,145,85,487,111,23,881,18,38,28,77%,45%,33%,2,49,3.7%
2026-02-14,64,42,408,40,36,1620,24,21,6,62%,50%,14%,4,68,5.9%
2026-02-13,76,41,396,36,62,3085,31,13,7,47%,32%,17%,8,100,7.8%
2026-02-12,101,51,460,38,50,1751,28,17,2,38%,33%,4%,4,63,6.1%
2026-02-11,86,34,487,32,73,3069,33,13,4,37%,38%,12%,6,93,6.8%
2026-02-10,121,73,521,75,42,1953,21,29,26,62%,40%,36%,4,93,4.0%
2026-02-09,228,130,527,126,34,1546,19,86,50,55%,66%,38%,3,81,3.6%
2026-02-08,154,86,445,89,30,1434,23,48,9,58%,56%,10%,3,62,5.2%
2026-02-07,177,65,435,79,55,2680,30,32,17,45%,49%,26%,6,89,6.9%
2026-02-06,152,102,448,95,37,769,25,48,19,62%,47%,19%,2,31,5.6%
2026-02-05,130,83,447,70,43,1504,25,28,14,54%,34%,17%,3,60,5.6%
2026-02-04,176,119,455,76,29,983,23,43,24,43%,36%,20%,2,43,5.1%
2026-02-03,213,77,388,81,35,2155,27,41,25,38%,53%,32%,6,80,7.0%
2026-02-02,232,78,399,110,38,2218,28,46,28,47%,59%,36%,6,79,7.0%
